links,account,accountingbook,accountingperiod,amount,department,iscustomglline,subsidiary
[],52,1,22,0,-1,F,19
[],52,1,22,0,-1,F,20
[],52,1,22,0,-1,F,21
[],52,1,22,0,-1,F,22
[],52,1,22,0,-1,F,23
[],52,1,22,0,-1,F,25
[],52,1,22,0,-1,F,27
[],52,1,22,0,-1,F,28
[],52,1,24,0,-1,F,2
[],52,1,24,0,-1,F,3
[],52,1,24,0,-1,F,4
[],52,1,24,0,-1,F,5
[],52,1,24,0,-1,F,6
[],52,1,24,0,-1,F,11
[],52,1,24,0,-1,F,12
[],52,1,24,0,-1,F,13
[],52,1,24,0,-1,F,14
[],52,1,24,0,-1,F,15
[],52,1,24,0,-1,F,16
[],52,1,24,0,-1,F,17
[],52,1,24,0,-1,F,18
[],52,1,24,0,-1,F,19
[],52,1,24,0,-1,F,20
[],52,1,24,0,-1,F,21
[],52,1,24,0,-1,F,22
[],52,1,24,0,-1,F,23
[],52,1,24,0,-1,F,24
[],52,1,24,0,-1,F,25
[],52,1,24,0,-1,F,27
[],52,1,24,0,-1,F,28
[],52,1,25,0,-1,F,2
[],52,1,25,0,-1,F,3
[],52,1,25,0,-1,F,4
[],52,1,25,0,-1,F,5
[],52,1,25,0,-1,F,6
[],52,1,25,0,-1,F,11
[],52,1,25,0,-1,F,12
[],52,1,25,0,-1,F,13
[],52,1,25,0,-1,F,14
[],52,1,25,0,-1,F,15
[],52,1,25,0,-1,F,16
[],52,1,25,0,-1,F,17
[],52,1,25,0,-1,F,18
[],52,1,25,0,-1,F,19
[],52,1,25,0,-1,F,20
[],52,1,25,10000,-1,F,21
[],52,1,25,0,-1,F,22
[],52,1,25,0,-1,F,23
[],52,1,25,0,-1,F,24
[],52,1,25,0,-1,F,25
[],52,1,25,0,-1,F,27
[],52,1,34,-59.2,-1,F,9
[],52,1,34,181147,-1,F,40
[],52,1,35,-209179.45,-1,F,36
[],52,1,38,-3289871.09,-1,F,5
[],52,1,38,13651.54,-1,F,11
[],52,1,38,-2717646.06,-1,F,12
[],52,1,38,189272.64,-1,F,13
[],52,1,38,25239.67,-1,F,14
[],52,1,38,-1.122118581E7,-1,F,15
[],52,1,38,-2425448.25,-1,F,16
[],52,1,38,-3742189.28,-1,F,18
[],52,1,38,-106898.3,-1,F,21
[],52,1,38,-24395.52,-1,F,23
[],52,1,38,36034.58,-1,F,24
[],52,1,38,1974.1,-1,F,25
[],52,1,38,60017.22,-1,F,27
[],52,1,38,4062.74,-1,F,28
[],52,1,39,0,-1,F,5
[],52,1,39,0,-1,F,11
[],52,1,39,0,-1,F,12
[],52,1,39,0,-1,F,13
[],52,1,39,0,-1,F,14
[],52,1,39,0,-1,F,15
[],52,1,39,0,-1,F,16
[],52,1,39,0,-1,F,18
[],52,1,39,0,-1,F,21
[],52,1,39,0,-1,F,23
[],52,1,39,0,-1,F,25
[],52,1,39,0,-1,F,27
[],52,1,40,0,-1,F,5
[],52,1,40,0,-1,F,11
[],52,1,40,0,-1,F,12
[],52,1,40,0,-1,F,13
[],52,1,40,0,-1,F,14
[],52,1,40,0,-1,F,15
[],52,1,40,0,-1,F,16
[],52,1,40,0,-1,F,18
[],52,1,40,0,-1,F,21
[],52,1,40,0,-1,F,23
[],52,1,40,0,-1,F,25
[],52,1,40,0,-1,F,27
[],52,1,42,0,-1,F,5
[],52,1,42,0,-1,F,11
[],52,1,42,0,-1,F,12
[],52,1,42,0,-1,F,13
[],52,1,42,0,-1,F,14
[],52,1,42,0,-1,F,15
[],52,1,42,0,-1,F,16
[],52,1,42,0,-1,F,18
[],52,1,42,0,-1,F,21
[],52,1,42,0,-1,F,23
[],52,1,42,0,-1,F,25
[],52,1,42,0,-1,F,27
[],52,1,43,0,-1,F,5
[],52,1,43,0,-1,F,11
[],52,1,43,0,-1,F,12
[],52,1,43,0,-1,F,13
[],52,1,43,0,-1,F,14
[],52,1,43,0,-1,F,15
[],52,1,43,0,-1,F,16
[],52,1,43,0,-1,F,18
[],52,1,43,0,-1,F,21
[],52,1,43,0,-1,F,23
[],52,1,43,0,-1,F,25
[],52,1,43,0,-1,F,27
[],52,1,44,0,-1,F,5
[],52,1,44,0,-1,F,11
[],52,1,44,0,-1,F,12
[],52,1,44,0,-1,F,13
[],52,1,44,0,-1,F,14
[],52,1,44,0,-1,F,15
[],52,1,44,0,-1,F,16
[],52,1,44,0,-1,F,18
[],52,1,44,0,-1,F,21
[],52,1,44,0,-1,F,23
[],52,1,44,0,-1,F,25
[],52,1,44,0,-1,F,27
[],52,1,46,0,-1,F,5
[],52,1,46,0,-1,F,11
[],52,1,46,0,-1,F,12
[],52,1,46,0,-1,F,13
[],52,1,46,0,-1,F,14
[],52,1,46,0,-1,F,15
[],52,1,46,0,-1,F,16
[],52,1,46,0,-1,F,18
[],52,1,46,0,-1,F,21
[],52,1,46,0,-1,F,23
[],52,1,46,0,-1,F,25
[],52,1,46,0,-1,F,27
[],52,1,47,0,-1,F,5
[],52,1,47,0,-1,F,11
[],52,1,47,0,-1,F,12
[],52,1,47,0,-1,F,13
[],52,1,47,0,-1,F,14
[],52,1,47,0,-1,F,15
[],52,1,47,0,-1,F,16
[],52,1,47,0,-1,F,18
[],52,1,47,0,-1,F,21
[],52,1,47,0,-1,F,23
[],52,1,47,0,-1,F,25
[],52,1,47,0,-1,F,27
[],52,1,48,0,-1,F,5
[],52,1,48,0,-1,F,11
[],52,1,48,0,-1,F,12
[],52,1,48,0,-1,F,13
[],52,1,48,0,-1,F,14
[],52,1,48,0,-1,F,15
[],52,1,48,0,-1,F,16
[],52,1,48,0,-1,F,18
[],52,1,48,0,-1,F,21
[],52,1,48,0,-1,F,23
[],52,1,48,0,-1,F,25
[],52,1,48,0,-1,F,27
[],52,1,50,0,-1,F,5
[],52,1,50,0,-1,F,11
[],52,1,50,0,-1,F,12
[],52,1,50,0,-1,F,13
[],52,1,50,0,-1,F,14
[],52,1,50,0,-1,F,15
[],52,1,50,0,-1,F,16
[],52,1,50,0,-1,F,18
[],52,1,50,0,-1,F,21
[],52,1,50,0,-1,F,23
[],52,1,50,0,-1,F,25
[],52,1,50,0,-1,F,27
[],52,1,51,0,-1,F,5
[],52,1,51,0,-1,F,11
[],52,1,51,0,-1,F,12
[],52,1,51,0,-1,F,13
[],52,1,51,0,-1,F,14
[],52,1,51,0,-1,F,15
[],52,1,51,0,-1,F,16
[],52,1,51,0,-1,F,18
[],52,1,51,0,-1,F,21
[],52,1,51,0,-1,F,23
[],52,1,51,0,-1,F,25
[],52,1,51,0,-1,F,27
[],52,1,52,2569199.09,-1,F,5
[],52,1,52,0,-1,F,11
[],52,1,52,896072.18,-1,F,12
[],52,1,52,-107166.82,-1,F,13
[],52,1,52,1250.29,-1,F,14
[],52,1,52,1646218.85,-1,F,15
[],52,1,52,116938.25,-1,F,16
